#: table_doi: 10.17182/hepdata.95354.v2/t12
#: name: Cross section limits vs. lifetime and mass, higgsino LSP
#: description: The expected and observed 95% CL upper limits on the product of cross section and branching fraction for direct production of charginos as a function of chargino mass and mean proper lifetime, with a purely higgsino LSP. The branching fractions are set to 95.5% for $\widetilde{\chi}^{\pm}_{1} \rightarrow \widetilde{\chi}^{0}_{1,2} \pi^{\pm}$, 3% for $\widetilde{\chi}^{-}_{1} \rightarrow \widetilde{\chi}^{0}_{1,2} e\nu$, and 1.5% for $\widetilde{\chi}^{-}_{1} \rightarrow \widetilde{\chi}^{0}_{1,2} \mu\nu$, with equal branching fractions and production cross sections between $\widetilde{\chi}^{0}_{1}$ and $\widetilde{\chi}^{0}_{2}$. The cross section includes both $\widetilde{\chi}^{\pm}_{1} \widetilde{\chi}^{0}_{1,2}$ and $\widetilde{\chi}^{\pm}_{1}\widetilde{\chi}^{\mp}_{1}$ production in roughly a 7:2 ratio for all chargino masses considered.
#: data_file: cross_section_limits_vs._lifetime_and_mass,_higgsino_lsp.yaml
Chargino lifetime [ns],Chargino mass [GeV],Observed 95\% CL upper limits on $\sigma$ B [pb]
216.82,500.0,0.37214
250.17,500.0,0.43181
283.53,500.0,0.49069
316.89,500.0,0.5479
350.24,500.0,0.60247
0.0083391,600.0,391350000.0
0.011675,600.0,669470000.0
0.01501,600.0,4092700.0
0.018346,600.0,196090.0
0.021682,600.0,25368.0
0.025017,600.0,5717.6
0.028353,600.0,1813.1
0.031689,600.0,722.52
0.050035,600.0,327.3
0.083391,600.0,7.764
0.11675,600.0,1.6229
0.1501,600.0,0.64367
0.18346,600.0,0.34439
0.21682,600.0,0.21773
0.25017,600.0,0.15213
0.28353,600.0,0.11383
0.31689,600.0,0.089471
0.50035,600.0,0.073016
0.83391,600.0,0.027092
1.1675,600.0,0.017431
1.501,600.0,0.014098
1.8346,600.0,0.012656
2.1682,600.0,0.012014
2.5017,600.0,0.01174
2.8353,600.0,0.011704
3.1689,600.0,0.011775
5.0035,600.0,0.011972
8.3391,600.0,0.01781
11.675,600.0,0.021443
15.01,600.0,0.025354
18.346,600.0,0.029435
21.682,600.0,0.033646
25.017,600.0,0.037787
28.353,600.0,0.041849
31.689,600.0,0.046035
50.035,600.0,0.050197
83.391,600.0,0.088995
116.75,600.0,0.13187
150.1,600.0,0.17532
183.46,600.0,0.21806
216.82,600.0,0.25874
250.17,600.0,0.29849
283.53,600.0,0.33548
316.89,600.0,0.37176
350.24,600.0,0.40771
0.0083391,700.0,656410000.0
0.011675,700.0,921470000.0
0.01501,700.0,4677500.0
0.018346,700.0,211770.0
0.021682,700.0,28107.0
0.025017,700.0,6464.4
0.028353,700.0,2079.1
0.031689,700.0,826.99
0.050035,700.0,361.33
0.083391,700.0,7.8152
0.11675,700.0,1.5681
0.1501,700.0,0.62001
0.18346,700.0,0.33543
0.21682,700.0,0.21377
0.25017,700.0,0.15131
0.28353,700.0,0.11433
0.31689,700.0,0.090517
0.50035,700.0,0.074654
0.83391,700.0,0.024158
1.1675,700.0,0.016323
1.501,700.0,0.013492
1.8346,700.0,0.01223
2.1682,700.0,0.011572
2.5017,700.0,0.011269
2.8353,700.0,0.011157
3.1689,700.0,0.011156
5.0035,700.0,0.011255
8.3391,700.0,0.013516
11.675,700.0,0.016913
15.01,700.0,0.020592
18.346,700.0,0.024279
21.682,700.0,0.028048
25.017,700.0,0.031766
28.353,700.0,0.035476
31.689,700.0,0.039038
50.035,700.0,0.042744
83.391,700.0,0.0734
116.75,700.0,0.10601
150.1,700.0,0.13663
183.46,700.0,0.16637
216.82,700.0,0.1946
250.17,700.0,0.22287
283.53,700.0,0.25052
316.89,700.0,0.27753
350.24,700.0,0.30455
0.0083391,800.0,174440000000.0
0.011675,800.0,348230000000.0
0.01501,800.0,303700000.0
0.018346,800.0,4554500.0
0.021682,800.0,280740.0
0.025017,800.0,39041.0
0.028353,800.0,8864.3
0.031689,800.0,2796.7
0.050035,800.0,1045.2
0.083391,800.0,13.41
0.11675,800.0,2.4092
0.1501,800.0,0.91433
0.18346,800.0,0.47296
0.21682,800.0,0.28985
0.25017,800.0,0.19749
0.28353,800.0,0.14435
0.31689,800.0,0.11128
0.50035,800.0,0.089413
0.83391,800.0,0.024718
1.1675,800.0,0.016336
1.501,800.0,0.013201
1.8346,800.0,0.011742
2.1682,800.0,0.010947
2.5017,800.0,0.010559
2.8353,800.0,0.010333
3.1689,800.0,0.010257
5.0035,800.0,0.010291
8.3391,800.0,0.012078
11.675,800.0,0.014802
15.01,800.0,0.017595
18.346,800.0,0.020479
21.682,800.0,0.023446
25.017,800.0,0.026492
28.353,800.0,0.029498
31.689,800.0,0.032527
50.035,800.0,0.03557
83.391,800.0,0.073558
116.75,800.0,0.10596
150.1,800.0,0.13855
183.46,800.0,0.16949
216.82,800.0,0.19998
250.17,800.0,0.22877
283.53,800.0,0.25629
316.89,800.0,0.28181
350.24,800.0,0.3072
0.0083391,900.0,112760000000.0
0.011675,900.0,51082000000.0
0.01501,900.0,97843000.0
0.018346,900.0,2325700.0
0.021682,900.0,193780.0
0.025017,900.0,33446.0
0.028353,900.0,8864.3
0.031689,900.0,3131.3
0.050035,900.0,1225.6
0.083391,900.0,15.65
0.11675,900.0,2.6401
0.1501,900.0,0.96478
0.18346,900.0,0.48792
0.21682,900.0,0.29347
0.25017,900.0,0.1968
0.28353,900.0,0.14209
0.31689,900.0,0.10825
0.50035,900.0,0.085911
0.83391,900.0,0.028916
1.1675,900.0,0.017635
1.501,900.0,0.013713
1.8346,900.0,0.01195
2.1682,900.0,0.011045
2.5017,900.0,0.010563
2.8353,900.0,0.010325
3.1689,900.0,0.010218
5.0035,900.0,0.010234
8.3391,900.0,0.0097592
11.675,900.0,0.012335
15.01,900.0,0.014959
18.346,900.0,0.01759
21.682,900.0,0.020213
25.017,900.0,0.022845
28.353,900.0,0.025481
31.689,900.0,0.028124
50.035,900.0,0.030774
83.391,900.0,0.057016
116.75,900.0,0.082894
150.1,900.0,0.10828
183.46,900.0,0.13288
216.82,900.0,0.15655
250.17,900.0,0.1791
283.53,900.0,0.19994
316.89,900.0,0.22033
350.24,900.0,0.23913

Chargino lifetime [ns],Chargino mass [GeV],Median expected 95\% upper limits on $\sigma$ B [pb]
0.0083391,100.0,18205000.0
0.011675,100.0,42416.0
0.01501,100.0,2150.1
0.018346,100.0,365.99
0.021682,100.0,112.51
0.025017,100.0,48.371
0.028353,100.0,25.289
0.031689,100.0,15.103
0.050035,100.0,9.6717
0.083391,100.0,1.0567
0.11675,100.0,0.42493
0.1501,100.0,0.25747
0.18346,100.0,0.18704
0.21682,100.0,0.14952
0.25017,100.0,0.12743
0.28353,100.0,0.11276
0.31689,100.0,0.10284
0.50035,100.0,0.095691
0.83391,100.0,0.078752
1.1675,100.0,0.0744
1.501,100.0,0.075453
1.8346,100.0,0.0785
2.1682,100.0,0.082452
2.5017,100.0,0.087051
2.8353,100.0,0.092041
3.1689,100.0,0.097346
5.0035,100.0,0.103
8.3391,100.0,0.17952
11.675,100.0,0.27935
15.01,100.0,0.38343
18.346,100.0,0.48487
21.682,100.0,0.57956
25.017,100.0,0.66183
28.353,100.0,0.73395
31.689,100.0,0.79795
50.035,100.0,0.85317
83.391,100.0,2.5915
116.75,100.0,3.5019
150.1,100.0,4.4139
183.46,100.0,5.3637
216.82,100.0,6.2827
250.17,100.0,7.1771
283.53,100.0,8.001
316.89,100.0,8.7976
350.24,100.0,9.5016
0.0083391,200.0,5697300.0
0.011675,200.0,23043.0
0.01501,200.0,1562.4
0.018346,200.0,321.03
0.021682,200.0,112.61
0.025017,200.0,53.317
0.028353,200.0,29.999
0.031689,200.0,18.896
0.050035,200.0,12.385
0.083391,200.0,1.3799
0.11675,200.0,0.48171
0.1501,200.0,0.25602
0.18346,200.0,0.16673
0.21682,200.0,0.12219
0.25017,200.0,0.096514
0.28353,200.0,0.080364
0.31689,200.0,0.06935
0.50035,200.0,0.061521
0.83391,200.0,0.032253
1.1675,200.0,0.027704
1.501,200.0,0.026926
1.8346,200.0,0.027203
2.1682,200.0,0.028084
2.5017,200.0,0.029217
2.8353,200.0,0.030524
3.1689,200.0,0.031871
5.0035,200.0,0.03334
8.3391,200.0,0.03948
11.675,200.0,0.052969
15.01,200.0,0.067202
18.346,200.0,0.082026
21.682,200.0,0.096963
25.017,200.0,0.11254
28.353,200.0,0.12794
31.689,200.0,0.14397
50.035,200.0,0.15963
83.391,200.0,0.32025
116.75,200.0,0.48748
150.1,200.0,0.65446
183.46,200.0,0.81872
216.82,200.0,0.98112
250.17,200.0,1.1435
283.53,200.0,1.3076
316.89,200.0,1.4697
350.24,200.0,1.6399
0.0083391,300.0,168330000.0
0.011675,300.0,330970000.0
0.01501,300.0,2239200.0
0.018346,300.0,98875.0
0.021682,300.0,11510.0
0.025017,300.0,2388.0
0.028353,300.0,718.85
0.031689,300.0,276.37
0.050035,300.0,123.08
0.083391,300.0,2.7707
0.11675,300.0,0.63881
0.1501,300.0,0.28487
0.18346,300.0,0.16919
0.21682,300.0,0.1174
0.25017,300.0,0.089325
0.28353,300.0,0.072565
0.31689,300.0,0.061325
0.50035,300.0,0.05333
0.83391,300.0,0.025241
1.1675,300.0,0.020383
1.501,300.0,0.018995
1.8346,300.0,0.018704
2.1682,300.0,0.018855
2.5017,300.0,0.019273
2.8353,300.0,0.019824
3.1689,300.0,0.020472
5.0035,300.0,0.021199
8.3391,300.0,0.033235
11.675,300.0,0.042384
15.01,300.0,0.05189
18.346,300.0,0.06155
21.682,300.0,0.071453
25.017,300.0,0.081176
28.353,300.0,0.09098
31.689,300.0,0.10057
50.035,300.0,0.11029
83.391,300.0,0.16494
116.75,300.0,0.2403
150.1,300.0,0.31603
183.46,300.0,0.39458
216.82,300.0,0.47504
250.17,300.0,0.55729
283.53,300.0,0.64118
316.89,300.0,0.72386
350.24,300.0,0.80735
0.0083391,400.0,126860000.0
0.011675,400.0,85392000.0
0.01501,400.0,687090.0
0.018346,400.0,37673.0
0.021682,400.0,5311.0
0.025017,400.0,1278.5
0.028353,400.0,432.31
0.031689,400.0,183.37
0.050035,400.0,87.81
0.083391,400.0,3.1748
0.11675,400.0,0.79388
0.1501,400.0,0.34602
0.18346,400.0,0.19729
0.21682,400.0,0.13054
0.25017,400.0,0.095646
0.28353,400.0,0.074846
0.31689,400.0,0.061363
0.50035,400.0,0.052088
0.83391,400.0,0.022949
1.1675,400.0,0.017538
1.501,400.0,0.015732
1.8346,400.0,0.015121
2.1682,400.0,0.014992
2.5017,400.0,0.015184
2.8353,400.0,0.015474
3.1689,400.0,0.015914
5.0035,400.0,0.016386
8.3391,400.0,0.026821
11.675,400.0,0.032695
15.01,400.0,0.038956
18.346,400.0,0.045689
21.682,400.0,0.052612
25.017,400.0,0.059578
28.353,400.0,0.066799
31.689,400.0,0.074098
50.035,400.0,0.081745
83.391,400.0,0.1208
116.75,400.0,0.1775
150.1,400.0,0.23709
183.46,400.0,0.29816
216.82,400.0,0.36015
250.17,400.0,0.42272
283.53,400.0,0.48571
316.89,400.0,0.54902
350.24,400.0,0.61043
0.0083391,500.0,133540000.0
0.011675,500.0,140210000.0
0.01501,500.0,1294100.0
0.018346,500.0,84434.0
0.021682,500.0,14093.0
0.025017,500.0,3893.0
0.028353,500.0,1406.7
0.031689,500.0,589.88
0.050035,500.0,272.77
0.083391,500.0,5.2435
0.11675,500.0,1.0599
0.1501,500.0,0.41672
0.18346,500.0,0.22339
0.21682,500.0,0.14166
0.25017,500.0,0.099741
0.28353,500.0,0.076097
0.31689,500.0,0.060839
0.50035,500.0,0.050688
0.83391,500.0,0.020679
1.1675,500.0,0.015451
1.501,500.0,0.013641
1.8346,500.0,0.012917
2.1682,500.0,0.012689
2.5017,500.0,0.012698
2.8353,500.0,0.012867
3.1689,500.0,0.01308
5.0035,500.0,0.013359
8.3391,500.0,0.019983
11.675,500.0,0.024576
15.01,500.0,0.029175
18.346,500.0,0.033606
21.682,500.0,0.038018
25.017,500.0,0.042349
28.353,500.0,0.046784
31.689,500.0,0.051052
50.035,500.0,0.055311
83.391,500.0,0.11902
116.75,500.0,0.18079
150.1,500.0,0.24135
183.46,500.0,0.29956
216.82,500.0,0.35555
250.17,500.0,0.40926
283.53,500.0,0.46231
316.89,500.0,0.51199
350.24,500.0,0.55971
0.0083391,600.0,353890000.0
0.011675,600.0,574240000.0
0.01501,600.0,3587500.0
0.018346,600.0,173390.0
0.021682,600.0,22440.0
0.025017,600.0,5046.1
0.028353,600.0,1587.2
0.031689,600.0,625.15
0.050035,600.0,280.38
0.083391,600.0,6.1902
0.11675,600.0,1.2594
0.1501,600.0,0.49274
0.18346,600.0,0.25971
0.21682,600.0,0.16262
0.25017,600.0,0.11279
0.28353,600.0,0.084096
0.31689,600.0,0.066108
0.50035,600.0,0.054129
0.83391,600.0,0.022055
1.1675,600.0,0.01491
1.501,600.0,0.012469
1.8346,600.0,0.011451
2.1682,600.0,0.011033
2.5017,600.0,0.010918
2.8353,600.0,0.010946
3.1689,600.0,0.011102
5.0035,600.0,0.011331
8.3391,600.0,0.016482
11.675,600.0,0.020274
15.01,600.0,0.024348
18.346,600.0,0.028542
21.682,600.0,0.032728
25.017,600.0,0.036882
28.353,600.0,0.040998
31.689,600.0,0.045076
50.035,600.0,0.049121
83.391,600.0,0.085532
116.75,600.0,0.12672
150.1,600.0,0.16803
183.46,600.0,0.20902
216.82,600.0,0.24928
250.17,600.0,0.28772
283.53,600.0,0.32512
316.89,600.0,0.36164
350.24,600.0,0.39885
0.0083391,700.0,786400000.0
0.011675,700.0,1218900000.0
0.01501,700.0,5915100.0
0.018346,700.0,248830.0
0.021682,700.0,30216.0
0.025017,700.0,6423.9
0.028353,700.0,1934.3
0.031689,700.0,739.79
0.050035,700.0,325.08
0.083391,700.0,6.2577
0.11675,700.0,1.2318
0.1501,700.0,0.4825
0.18346,700.0,0.25787
0.21682,700.0,0.16402
0.25017,700.0,0.11515
0.28353,700.0,0.086622
0.31689,700.0,0.068635
0.50035,700.0,0.056339
0.83391,700.0,0.019109
1.1675,700.0,0.013448
1.501,700.0,0.011458
1.8346,700.0,0.010604
2.1682,700.0,0.010195
2.5017,700.0,0.010073
2.8353,700.0,0.010073
3.1689,700.0,0.010156
5.0035,700.0,0.010302
8.3391,700.0,0.013157
11.675,700.0,0.016548
15.01,700.0,0.020231
18.346,700.0,0.024047
21.682,700.0,0.027871
25.017,700.0,0.03178
28.353,700.0,0.035553
31.689,700.0,0.039283
50.035,700.0,0.043125
83.391,700.0,0.074596
116.75,700.0,0.10777
150.1,700.0,0.13863
183.46,700.0,0.16887
216.82,700.0,0.19737
250.17,700.0,0.22574
283.53,700.0,0.25274
316.89,700.0,0.28017
350.24,700.0,0.30734
0.0083391,800.0,121500000000.0
0.011675,800.0,242220000000.0
0.01501,800.0,209570000.0
0.018346,800.0,3122100.0
0.021682,800.0,192260.0
0.025017,800.0,26668.0
0.028353,800.0,6050.6
0.031689,800.0,1908.3
0.050035,800.0,720.5
0.083391,800.0,9.6778
0.11675,800.0,1.7716
0.1501,800.0,0.67924
0.18346,800.0,0.35672
0.21682,800.0,0.21995
0.25017,800.0,0.15005
0.28353,800.0,0.10984
0.31689,800.0,0.084696
0.50035,800.0,0.068061
0.83391,800.0,0.019897
1.1675,800.0,0.013639
1.501,800.0,0.01132
1.8346,800.0,0.01028
2.1682,800.0,0.0097608
2.5017,800.0,0.0095143
2.8353,800.0,0.0094446
3.1689,800.0,0.0094759
5.0035,800.0,0.0095526
8.3391,800.0,0.011709
11.675,800.0,0.014256
15.01,800.0,0.016937
18.346,800.0,0.019721
21.682,800.0,0.022544
25.017,800.0,0.025479
28.353,800.0,0.028341
31.689,800.0,0.031194
50.035,800.0,0.03415
83.391,800.0,0.070675
116.75,800.0,0.10156
150.1,800.0,0.1323
183.46,800.0,0.16161
216.82,800.0,0.18987
250.17,800.0,0.21787
283.53,800.0,0.24421
316.89,800.0,0.26951
350.24,800.0,0.29474
0.0083391,900.0,77999000000.0
0.011675,900.0,34494000000.0
0.01501,900.0,65991000.0
0.018346,900.0,1569600.0
0.021682,900.0,131380.0
0.025017,900.0,22664.0
0.028353,900.0,6046.4
0.031689,900.0,2163.1
0.050035,900.0,868.82
0.083391,900.0,12.152
0.11675,900.0,1.9931
0.1501,900.0,0.71366
0.18346,900.0,0.35411
0.21682,900.0,0.21092
0.25017,900.0,0.14058
0.28353,900.0,0.1015
0.31689,900.0,0.077464
0.50035,900.0,0.061434
0.83391,900.0,0.022961
1.1675,900.0,0.014687
1.501,900.0,0.011782
1.8346,900.0,0.010513
2.1682,900.0,0.0098587
2.5017,900.0,0.0095545
2.8353,900.0,0.0094327
3.1689,900.0,0.009412
5.0035,900.0,0.0094638
8.3391,900.0,0.0096098
11.675,900.0,0.012281
15.01,900.0,0.014972
18.346,900.0,0.017636
21.682,900.0,0.020365
25.017,900.0,0.023062
28.353,900.0,0.025726
31.689,900.0,0.028453
50.035,900.0,0.031168
83.391,900.0,0.056352
116.75,900.0,0.082306
150.1,900.0,0.10836
183.46,900.0,0.13345
216.82,900.0,0.15764
250.17,900.0,0.1808
283.53,900.0,0.20357
316.89,900.0,0.22461
350.24,900.0,0.24461

