#: table_doi: 10.17182/hepdata.95354.v2/t10
#: name: Cross section limits vs. lifetime and mass, wino LSP
#: description: The expected and observed 95% CL upper limits on the product of cross section and branching fraction for direct production of charginos as a function of chargino mass and mean proper lifetime, with a purely wino LSP. The branching fraction for $\widetilde{\chi}^{\pm}_{1} \rightarrow \widetilde{\chi}^{0}_{1} \pi^{\pm}$ is set to 100%. Shown are the full Run 2 results, derived from the results of the search in the 2017 and 2018 data sets combined with those of the previous CMS result obtained in the 2015 and 2016 data sets. The cross section includes both $\widetilde{\chi}^{\pm}_{1} \widetilde{\chi}^{0}_{1}$ and $\widetilde{\chi}^{\pm}_{1}\widetilde{\chi}^{\mp}_{1}$ production in roughly a 2:1 ratio for all chargino masses considered.
#: data_file: cross_section_limits_vs._lifetime_and_mass,_wino_lsp.yaml
Chargino lifetime [ns],Chargino mass [GeV],Observed 95\% CL upper limits on $\sigma$ B [pb]
1.501,600.0,0.0062127
1.8346,600.0,0.005587
2.1682,600.0,0.0053253
2.5017,600.0,0.0052027
2.8353,600.0,0.0051715
3.1689,600.0,0.005177
5.0035,600.0,0.0052261
8.3391,600.0,0.0075046
11.675,600.0,0.0091346
15.01,600.0,0.010977
18.346,600.0,0.012834
21.682,600.0,0.014828
25.017,600.0,0.016697
28.353,600.0,0.018723
31.689,600.0,0.020619
50.035,600.0,0.022624
83.391,600.0,0.032135
116.75,600.0,0.045382
150.1,600.0,0.059476
183.46,600.0,0.074177
216.82,600.0,0.088505
250.17,600.0,0.10255
283.53,600.0,0.11773
316.89,600.0,0.13226
350.24,600.0,0.14548
0.0083391,700.0,54287000000.0
0.011675,700.0,394830000.0
0.01501,700.0,2147400.0
0.018346,700.0,99971.0
0.021682,700.0,13233.0
0.025017,700.0,3161.1
0.028353,700.0,1074.0
0.031689,700.0,458.96
0.050035,700.0,235.07
0.083391,700.0,5.0858
0.11675,700.0,0.92082
0.1501,700.0,0.35008
0.18346,700.0,0.18378
0.21682,700.0,0.11404
0.25017,700.0,0.078822
0.28353,700.0,0.058221
0.31689,700.0,0.045227
0.50035,700.0,0.036552
0.83391,700.0,0.012584
1.1675,700.0,0.007637
1.501,700.0,0.0060472
1.8346,700.0,0.0053374
2.1682,700.0,0.0050038
2.5017,700.0,0.0048206
2.8353,700.0,0.0047466
3.1689,700.0,0.0047613
5.0035,700.0,0.0047825
8.3391,700.0,0.005097
11.675,700.0,0.0063953
15.01,700.0,0.0077006
18.346,700.0,0.0089734
21.682,700.0,0.010326
25.017,700.0,0.011616
28.353,700.0,0.012939
31.689,700.0,0.01433
50.035,700.0,0.015602
83.391,700.0,0.025171
116.75,700.0,0.040086
150.1,700.0,0.053783
183.46,700.0,0.068116
216.82,700.0,0.08242
250.17,700.0,0.095903
283.53,700.0,0.11019
316.89,700.0,0.12627
350.24,700.0,0.13582
0.0083391,800.0,31037000000.0
0.011675,800.0,7786600000.0
0.01501,800.0,19505000.0
0.018346,800.0,557050.0
0.021682,800.0,54080.0
0.025017,800.0,10301.0
0.028353,800.0,2981.8
0.031689,800.0,1128.6
0.050035,800.0,519.35
0.083391,800.0,7.6545
0.11675,800.0,1.2679
0.1501,800.0,0.45036
0.18346,800.0,0.22585
0.21682,800.0,0.13661
0.25017,800.0,0.092553
0.28353,800.0,0.067241
0.31689,800.0,0.051242
0.50035,800.0,0.040362
0.83391,800.0,0.012746
1.1675,800.0,0.0078875
1.501,800.0,0.0061823
1.8346,800.0,0.0054109
2.1682,800.0,0.0050492
2.5017,800.0,0.0048159
2.8353,800.0,0.004697
3.1689,800.0,0.0046464
5.0035,800.0,0.0046417
8.3391,800.0,0.0058422
11.675,800.0,0.0070802
15.01,800.0,0.0085182
18.346,800.0,0.0097484
21.682,800.0,0.011045
25.017,800.0,0.01231
28.353,800.0,0.013463
31.689,800.0,0.014694
50.035,800.0,0.015816
83.391,800.0,0.02489
116.75,800.0,0.036746
150.1,800.0,0.048638
183.46,800.0,0.060948
216.82,800.0,0.074098
250.17,800.0,0.086896
283.53,800.0,0.099689
316.89,800.0,0.11129
350.24,800.0,0.12417
0.0083391,900.0,66193000000.0
0.011675,900.0,101350000000.0
0.01501,900.0,73635000.0
0.018346,900.0,1058000.0
0.021682,900.0,66349.0
0.025017,900.0,9688.9
0.028353,900.0,2325.8
0.031689,900.0,780.98
0.050035,900.0,363.06
0.083391,900.0,6.7755
0.11675,900.0,1.3227
0.1501,900.0,0.47095
0.18346,900.0,0.22992
0.21682,900.0,0.13595
0.25017,900.0,0.090905
0.28353,900.0,0.066057
0.31689,900.0,0.050924
0.50035,900.0,0.04095
0.83391,900.0,0.011946
1.1675,900.0,0.0073446
1.501,900.0,0.0057434
1.8346,900.0,0.0050126
2.1682,900.0,0.0046429
2.5017,900.0,0.0044399
2.8353,900.0,0.0043445
3.1689,900.0,0.0043046
5.0035,900.0,0.0042989
8.3391,900.0,0.0044327
11.675,900.0,0.0055739
15.01,900.0,0.0068283
18.346,900.0,0.0081311
21.682,900.0,0.0093728
25.017,900.0,0.01063
28.353,900.0,0.011879
31.689,900.0,0.013218
50.035,900.0,0.014609
83.391,900.0,0.020541
116.75,900.0,0.03071
150.1,900.0,0.041194
183.46,900.0,0.050455
216.82,900.0,0.059947
250.17,900.0,0.068432
283.53,900.0,0.078375
316.89,900.0,0.086231
350.24,900.0,0.094553
0.0083391,1000.0,66193000000.0
0.011675,1000.0,51798000000.0
0.01501,1000.0,39463000000.0
0.018346,1000.0,205040000.0
0.021682,1000.0,5883700.0
0.025017,1000.0,450740.0
0.028353,1000.0,64225.0
0.031689,1000.0,14039.0
0.050035,1000.0,4235.8
0.083391,1000.0,14.455
0.11675,1000.0,1.8791
0.1501,1000.0,0.59042
0.18346,1000.0,0.27198
0.21682,1000.0,0.15533
0.25017,1000.0,0.10156
0.28353,1000.0,0.072742
0.31689,1000.0,0.055593
0.50035,1000.0,0.044558
0.83391,1000.0,0.010836
1.1675,1000.0,0.0068375
1.501,1000.0,0.0054272
1.8346,1000.0,0.004769
2.1682,1000.0,0.0044026
2.5017,1000.0,0.0042105
2.8353,1000.0,0.0040909
3.1689,1000.0,0.0040333
5.0035,1000.0,0.0040219
8.3391,1000.0,0.0043844
11.675,1000.0,0.0051958
15.01,1000.0,0.0061326
18.346,1000.0,0.0071225
21.682,1000.0,0.0081183
25.017,1000.0,0.0091672
28.353,1000.0,0.010187
31.689,1000.0,0.011268
50.035,1000.0,0.012336
83.391,1000.0,0.025637
116.75,1000.0,0.034762
150.1,1000.0,0.04361
183.46,1000.0,0.05213
216.82,1000.0,0.060506
250.17,1000.0,0.068284
283.53,1000.0,0.075899
316.89,1000.0,0.083317
350.24,1000.0,0.090291
0.0083391,1100.0,33189000000.0
0.011675,1100.0,185180000.0
0.01501,1100.0,1235300.0
0.018346,1100.0,64206.0
0.021682,1100.0,9336.0
0.025017,1100.0,2380.2
0.028353,1100.0,864.53
0.031689,1100.0,396.13
0.050035,1100.0,211.16
0.083391,1100.0,10.333
0.11675,1100.0,1.9586
0.1501,1100.0,0.6259
0.18346,1100.0,0.28638
0.21682,1100.0,0.16151
0.25017,1100.0,0.10383
0.28353,1100.0,0.072863
0.31689,1100.0,0.054427
0.50035,1100.0,0.042564
0.83391,1100.0,0.011463
1.1675,1100.0,0.0071942
1.501,1100.0,0.0056092
1.8346,1100.0,0.0048426
2.1682,1100.0,0.0044143
2.5017,1100.0,0.0041765
2.8353,1100.0,0.0040258
3.1689,1100.0,0.0039435
5.0035,1100.0,0.0039028
8.3391,1100.0,0.0040554
11.675,1100.0,0.0047573
15.01,1100.0,0.0055657
18.346,1100.0,0.006407
21.682,1100.0,0.0072901
25.017,1100.0,0.0081682
28.353,1100.0,0.0090584
31.689,1100.0,0.0099352
50.035,1100.0,0.010791
83.391,1100.0,0.019106
116.75,1100.0,0.027008
150.1,1100.0,0.034869
183.46,1100.0,0.042459
216.82,1100.0,0.049869
250.17,1100.0,0.056918
283.53,1100.0,0.064015
316.89,1100.0,0.070698
350.24,1100.0,0.076888

Chargino lifetime [ns],Chargino mass [GeV],Median expected 95\% upper limits on $\sigma$ B [pb]
0.0083391,100.0,100180000.0
0.011675,100.0,59803.0
0.01501,100.0,1688.2
0.018346,100.0,217.59
0.021682,100.0,58.519
0.025017,100.0,23.644
0.028353,100.0,12.19
0.031689,100.0,7.3409
0.050035,100.0,4.9484
0.083391,100.0,0.62321
0.11675,100.0,0.24764
0.1501,100.0,0.14011
0.18346,100.0,0.094095
0.21682,100.0,0.070825
0.25017,100.0,0.057132
0.28353,100.0,0.04829
0.31689,100.0,0.042501
0.50035,100.0,0.03781
0.83391,100.0,0.029683
1.1675,100.0,0.025947
1.501,100.0,0.025776
1.8346,100.0,0.02674
2.1682,100.0,0.028291
2.5017,100.0,0.030085
2.8353,100.0,0.03163
3.1689,100.0,0.033727
5.0035,100.0,0.035454
8.3391,100.0,0.028768
11.675,100.0,0.043215
15.01,100.0,0.060477
18.346,100.0,0.074076
21.682,100.0,0.094629
25.017,100.0,0.10849
28.353,100.0,0.12752
31.689,100.0,0.14956
50.035,100.0,0.1615
83.391,100.0,0.37382
116.75,100.0,0.55873
150.1,100.0,0.81337
183.46,100.0,0.98319
216.82,100.0,1.142
250.17,100.0,1.4249
283.53,100.0,1.6739
316.89,100.0,1.8936
350.24,100.0,2.175
0.0083391,200.0,36888.0
0.011675,200.0,841.68
0.01501,200.0,138.26
0.018346,200.0,49.35
0.021682,200.0,25.89
0.025017,200.0,16.878
0.028353,200.0,12.54
0.031689,200.0,10.041
0.050035,200.0,8.9837
0.083391,200.0,0.9365
0.11675,200.0,0.28676
0.1501,200.0,0.14469
0.18346,200.0,0.091246
0.21682,200.0,0.065172
0.25017,200.0,0.050098
0.28353,200.0,0.040755
0.31689,200.0,0.034081
0.50035,200.0,0.02921
0.83391,200.0,0.012139
1.1675,200.0,0.010358
1.501,200.0,0.0098368
1.8346,200.0,0.0098565
2.1682,200.0,0.010085
2.5017,200.0,0.010481
2.8353,200.0,0.010745
3.1689,200.0,0.011323
5.0035,200.0,0.011773
8.3391,200.0,0.017623
11.675,200.0,0.025001
15.01,200.0,0.030374
18.346,200.0,0.037649
21.682,200.0,0.044109
25.017,200.0,0.050594
28.353,200.0,0.055937
31.689,200.0,0.06257
50.035,200.0,0.069925
83.391,200.0,0.14776
116.75,200.0,0.22027
150.1,200.0,0.29229
183.46,200.0,0.35769
216.82,200.0,0.44111
250.17,200.0,0.52036
283.53,200.0,0.61282
316.89,200.0,0.6947
350.24,200.0,0.7499
0.0083391,300.0,97337000000.0
0.011675,300.0,714730000.0
0.01501,300.0,2564800.0
0.018346,300.0,82937.0
0.021682,300.0,8299.8
0.025017,300.0,1580.6
0.028353,300.0,450.54
0.031689,300.0,169.11
0.050035,300.0,76.128
0.083391,300.0,1.6199
0.11675,300.0,0.34577
0.1501,300.0,0.14691
0.18346,300.0,0.085294
0.21682,300.0,0.058427
0.25017,300.0,0.044067
0.28353,300.0,0.035446
0.31689,300.0,0.029609
0.50035,300.0,0.025509
0.83391,300.0,0.011005
1.1675,300.0,0.008304
1.501,300.0,0.0074309
1.8346,300.0,0.0071144
2.1682,300.0,0.006972
2.5017,300.0,0.0070238
2.8353,300.0,0.007118
3.1689,300.0,0.0072848
5.0035,300.0,0.00744
8.3391,300.0,0.010573
11.675,300.0,0.014022
15.01,300.0,0.017269
18.346,300.0,0.020153
21.682,300.0,0.024048
25.017,300.0,0.02724
28.353,300.0,0.03089
31.689,300.0,0.033988
50.035,300.0,0.036975
83.391,300.0,0.058501
116.75,300.0,0.09304
150.1,300.0,0.13038
183.46,300.0,0.16128
216.82,300.0,0.20035
250.17,300.0,0.24302
283.53,300.0,0.27529
316.89,300.0,0.30674
350.24,300.0,0.34006
0.0083391,400.0,291300000000.0
0.011675,400.0,11090000.0
0.01501,400.0,75576.0
0.018346,400.0,4044.5
0.021682,400.0,600.77
0.025017,400.0,158.22
0.028353,400.0,59.393
0.031689,400.0,28.135
0.050035,400.0,15.596
0.083391,400.0,1.0841
0.11675,400.0,0.33332
0.1501,400.0,0.14953
0.18346,400.0,0.084367
0.21682,400.0,0.054872
0.25017,400.0,0.039567
0.28353,400.0,0.030471
0.31689,400.0,0.024708
0.50035,400.0,0.020777
0.83391,400.0,0.0092106
1.1675,400.0,0.0065431
1.501,400.0,0.0056832
1.8346,400.0,0.0053474
2.1682,400.0,0.0052523
2.5017,400.0,0.0052205
2.8353,400.0,0.0053263
3.1689,400.0,0.0054036
5.0035,400.0,0.0055311
8.3391,400.0,0.007735
11.675,400.0,0.010219
15.01,400.0,0.012331
18.346,400.0,0.014695
21.682,400.0,0.016992
25.017,400.0,0.019038
28.353,400.0,0.021775
31.689,400.0,0.02386
50.035,400.0,0.026123
83.391,400.0,0.033378
116.75,400.0,0.055929
150.1,400.0,0.074352
183.46,400.0,0.096218
216.82,400.0,0.11574
250.17,400.0,0.13814
283.53,400.0,0.16372
316.89,400.0,0.18654
350.24,400.0,0.20084
0.0083391,500.0,145740000000.0
0.011675,500.0,180800000.0
0.01501,500.0,1020900.0
0.018346,500.0,48259.0
0.021682,500.0,6523.2
0.025017,500.0,1592.3
0.028353,500.0,550.58
0.031689,500.0,236.26
0.050035,500.0,120.99
0.083391,500.0,2.81
0.11675,500.0,0.56942
0.1501,500.0,0.2211
0.18346,500.0,0.11707
0.21682,500.0,0.073804
0.25017,500.0,0.051975
0.28353,500.0,0.039391
0.31689,500.0,0.03147
0.50035,500.0,0.026104
0.83391,500.0,0.0096267
1.1675,500.0,0.0068815
1.501,500.0,0.005841
1.8346,500.0,0.0053947
2.1682,500.0,0.005216
2.5017,500.0,0.0051472
2.8353,500.0,0.0051365
3.1689,500.0,0.0052022
5.0035,500.0,0.0052908
8.3391,500.0,0.0062632
11.675,500.0,0.0082267
15.01,500.0,0.010076
18.346,500.0,0.012076
21.682,500.0,0.013829
25.017,500.0,0.015909
28.353,500.0,0.017949
31.689,500.0,0.020114
50.035,500.0,0.022072
83.391,500.0,0.030382
116.75,500.0,0.044974
150.1,500.0,0.059865
183.46,500.0,0.076712
216.82,500.0,0.09365
250.17,500.0,0.10884
283.53,500.0,0.12593
316.89,500.0,0.14249
350.24,500.0,0.16294
0.0083391,600.0,73360000000.0
0.011675,600.0,980860000.0
0.01501,600.0,2465200.0
0.018346,600.0,74230.0
0.021682,600.0,7503.0
0.025017,600.0,1507.4
0.028353,600.0,466.02
0.031689,600.0,189.94
0.050035,600.0,91.827
0.083391,600.0,3.093
0.11675,600.0,0.62763
0.1501,600.0,0.24368
0.18346,600.0,0.12814
0.21682,600.0,0.079518
0.25017,600.0,0.054895
0.28353,600.0,0.040724
0.31689,600.0,0.031859
0.50035,600.0,0.025903
0.83391,600.0,0.0083869
1.1675,600.0,0.0057752
1.501,600.0,0.0049099
1.8346,600.0,0.0044969
2.1682,600.0,0.0043418
2.5017,600.0,0.0042744
2.8353,600.0,0.0042764
3.1689,600.0,0.0043086
5.0035,600.0,0.0043736
8.3391,600.0,0.0058598
11.675,600.0,0.0072189
15.01,600.0,0.0087136
18.346,600.0,0.010226
21.682,600.0,0.011835
25.017,600.0,0.013366
28.353,600.0,0.01503
31.689,600.0,0.016513
50.035,600.0,0.018103
83.391,600.0,0.028693
116.75,600.0,0.040774
150.1,600.0,0.053527
183.46,600.0,0.066762
216.82,600.0,0.079775
250.17,600.0,0.092586
283.53,600.0,0.10575
316.89,600.0,0.11859
350.24,600.0,0.13095
0.0083391,700.0,36971000000.0
0.011675,700.0,582390000.0
0.01501,700.0,3157800.0
0.018346,700.0,146800.0
0.021682,700.0,19278.0
0.025017,700.0,4538.4
0.028353,700.0,1511.9
0.031689,700.0,628.63
0.050035,700.0,311.73
0.083391,700.0,5.2896
0.11675,700.0,0.83862
0.1501,700.0,0.29448
0.18346,700.0,0.14821
0.21682,700.0,0.08981
0.25017,700.0,0.060779
0.28353,700.0,0.044647
0.31689,700.0,0.034487
0.50035,700.0,0.027758
0.83391,700.0,0.0093326
1.1675,700.0,0.0059126
1.501,700.0,0.0048149
1.8346,700.0,0.0043247
2.1682,700.0,0.0041074
2.5017,700.0,0.0039981
2.8353,700.0,0.0039599
3.1689,700.0,0.0039966
5.0035,700.0,0.0040386
8.3391,700.0,0.0046164
11.675,700.0,0.0057899
15.01,700.0,0.006969
18.346,700.0,0.0081617
21.682,700.0,0.0094045
25.017,700.0,0.010589
28.353,700.0,0.011767
31.689,700.0,0.013006
50.035,700.0,0.01425
83.391,700.0,0.022603
116.75,700.0,0.035809
150.1,700.0,0.048199
183.46,700.0,0.06112
216.82,700.0,0.073753
250.17,700.0,0.085755
283.53,700.0,0.098373
316.89,700.0,0.1124
350.24,700.0,0.12111
0.0083391,800.0,21123000000.0
0.011675,800.0,5274200000.0
0.01501,800.0,13226000.0
0.018346,800.0,378720.0
0.021682,800.0,36900.0
0.025017,800.0,7091.7
0.028353,800.0,2077.4
0.031689,800.0,798.77
0.050035,800.0,376.53
0.083391,800.0,6.2193
0.11675,800.0,1.0041
0.1501,800.0,0.3451
0.18346,800.0,0.16818
0.21682,800.0,0.099698
0.25017,800.0,0.066687
0.28353,800.0,0.0481
0.31689,800.0,0.036538
0.50035,800.0,0.028882
0.83391,800.0,0.0090977
1.1675,800.0,0.0058334
1.501,800.0,0.0047028
1.8346,800.0,0.0041684
2.1682,800.0,0.0039475
2.5017,800.0,0.0038104
2.8353,800.0,0.0037542
3.1689,800.0,0.0037458
5.0035,800.0,0.0037629
8.3391,800.0,0.0046816
11.675,800.0,0.0057874
15.01,800.0,0.0070433
18.346,800.0,0.0081436
21.682,800.0,0.0092757
25.017,800.0,0.010394
28.353,800.0,0.011429
31.689,800.0,0.012501
50.035,800.0,0.013517
83.391,800.0,0.021382
116.75,800.0,0.031572
150.1,800.0,0.041723
183.46,800.0,0.052325
216.82,800.0,0.063434
250.17,800.0,0.074246
283.53,800.0,0.084834
316.89,800.0,0.094805
350.24,800.0,0.10592
0.0083391,900.0,45027000000.0
0.011675,900.0,68931000000.0
0.01501,900.0,50071000.0
0.018346,900.0,718720.0
0.021682,900.0,44943.0
0.025017,900.0,6549.7
0.028353,900.0,1573.4
0.031689,900.0,527.87
0.050035,900.0,241.46
0.083391,900.0,4.7456
0.11675,900.0,0.94104
0.1501,900.0,0.33483
0.18346,900.0,0.16336
0.21682,900.0,0.096252
0.25017,900.0,0.064088
0.28353,900.0,0.046548
0.31689,900.0,0.035761
0.50035,900.0,0.028871
0.83391,900.0,0.0090853
1.1675,900.0,0.0057787
1.501,900.0,0.0046094
1.8346,900.0,0.0040765
2.1682,900.0,0.0038112
2.5017,900.0,0.0036777
2.8353,900.0,0.0036146
3.1689,900.0,0.0036009
5.0035,900.0,0.003608
8.3391,900.0,0.0040632
11.675,900.0,0.0050451
15.01,900.0,0.0061408
18.346,900.0,0.0072732
21.682,900.0,0.008372
25.017,900.0,0.0094704
28.353,900.0,0.010554
31.689,900.0,0.011723
50.035,900.0,0.01295
83.391,900.0,0.019301
116.75,900.0,0.028413
150.1,900.0,0.03799
183.46,900.0,0.046549
216.82,900.0,0.055424
250.17,900.0,0.063383
283.53,900.0,0.072436
316.89,900.0,0.079798
350.24,900.0,0.087896
0.0083391,1000.0,45027000000.0
0.011675,1000.0,35939000000.0
0.01501,1000.0,29672000000.0
0.018346,1000.0,158450000.0
0.021682,1000.0,4589500.0
0.025017,1000.0,351970.0
0.028353,1000.0,49732.0
0.031689,1000.0,10837.0
0.050035,1000.0,3272.9
0.083391,1000.0,10.477
0.11675,1000.0,1.3324
0.1501,1000.0,0.41609
0.18346,1000.0,0.19134
0.21682,1000.0,0.10924
0.25017,1000.0,0.071536
0.28353,1000.0,0.051301
0.31689,1000.0,0.03935
0.50035,1000.0,0.031593
0.83391,1000.0,0.0085048
1.1675,1000.0,0.0055976
1.501,1000.0,0.0045772
1.8346,1000.0,0.0041082
2.1682,1000.0,0.0038556
2.5017,1000.0,0.0037289
2.8353,1000.0,0.0036748
3.1689,1000.0,0.0036514
5.0035,1000.0,0.0036693
8.3391,1000.0,0.0042581
11.675,1000.0,0.0051306
15.01,1000.0,0.0061
18.346,1000.0,0.0071192
21.682,1000.0,0.0081408
